{'loss': 0.2042, 'grad_norm': 0.9850149750709534, 'learning_rate': 1.4962188700162333e-05, 'epoch': 2.1}
{'loss': 0.2019, 'grad_norm': 0.8617321848869324, 'learning_rate': 1.4764223779546266e-05, 'epoch': 2.11}
{'loss': 0.1963, 'grad_norm': 0.8254154324531555, 'learning_rate': 1.4566258858930199e-05, 'epoch': 2.13}
{'loss': 0.2013, 'grad_norm': 0.9662768244743347, 'learning_rate': 1.436829393831413e-05, 'epoch': 2.14}
{'loss': 0.1931, 'grad_norm': 0.9816275835037231, 'learning_rate': 1.4170329017698064e-05, 'epoch': 2.15}
{'loss': 0.2041, 'grad_norm': 0.9622523188591003, 'learning_rate': 1.3972364097081997e-05, 'epoch': 2.16}
{'loss': 0.2088, 'grad_norm': 0.7586489915847778, 'learning_rate': 1.377439917646593e-05, 'epoch': 2.17}
{'loss': 0.2012, 'grad_norm': 0.8580818772315979, 'learning_rate': 1.3576434255849865e-05, 'epoch': 2.19}
{'loss': 0.2049, 'grad_norm': 0.9921600222587585, 'learning_rate': 1.3378469335233798e-05, 'epoch': 2.2}
{'loss': 0.1994, 'grad_norm': 0.7729447484016418, 'learning_rate': 1.3180504414617731e-05, 'epoch': 2.21}
{'loss': 0.2031, 'grad_norm': 1.0094375610351562, 'learning_rate': 1.2982539494001665e-05, 'epoch': 2.22}
{'loss': 0.1948, 'grad_norm': 0.7768042087554932, 'learning_rate': 1.2784574573385596e-05, 'epoch': 2.23}
{'loss': 0.196, 'grad_norm': 1.0963901281356812, 'learning_rate': 1.258660965276953e-05, 'epoch': 2.24}
{'loss': 0.2016, 'grad_norm': 1.0208991765975952, 'learning_rate': 1.2388644732153464e-05, 'epoch': 2.26}
{'loss': 0.2059, 'grad_norm': 0.9704720377922058, 'learning_rate': 1.2190679811537396e-05, 'epoch': 2.27}
{'loss': 0.2015, 'grad_norm': 0.7574406862258911, 'learning_rate': 1.1992714890921329e-05, 'epoch': 2.28}
{'loss': 0.1967, 'grad_norm': 0.6334786415100098, 'learning_rate': 1.1794749970305262e-05, 'epoch': 2.29}
{'loss': 0.1935, 'grad_norm': 1.1370569467544556, 'learning_rate': 1.1596785049689197e-05, 'epoch': 2.3}
{'loss': 0.1984, 'grad_norm': 0.42326095700263977, 'learning_rate': 1.1398820129073128e-05, 'epoch': 2.32}
{'loss': 0.2005, 'grad_norm': 0.9097852110862732, 'learning_rate': 1.1200855208457061e-05, 'epoch': 2.33}
{'loss': 0.2008, 'grad_norm': 0.833465576171875, 'learning_rate': 1.1002890287840995e-05, 'epoch': 2.34}
{'loss': 0.208, 'grad_norm': 0.9942925572395325, 'learning_rate': 1.080492536722493e-05, 'epoch': 2.35}
{'loss': 0.2028, 'grad_norm': 0.8902914524078369, 'learning_rate': 1.0606960446608861e-05, 'epoch': 2.36}
{'loss': 0.1941, 'grad_norm': 0.7780898213386536, 'learning_rate': 1.0408995525992794e-05, 'epoch': 2.38}
{'loss': 0.2018, 'grad_norm': 0.9171186089515686, 'learning_rate': 1.0211030605376727e-05, 'epoch': 2.39}
{'loss': 0.1997, 'grad_norm': 0.7122300267219543, 'learning_rate': 1.001306568476066e-05, 'epoch': 2.4}
{'loss': 0.197, 'grad_norm': 0.8591302037239075, 'learning_rate': 9.815100764144594e-06, 'epoch': 2.41}
{'loss': 0.2027, 'grad_norm': 0.8260070085525513, 'learning_rate': 9.617135843528527e-06, 'epoch': 2.42}
{'loss': 0.1991, 'grad_norm': 0.9771436452865601, 'learning_rate': 9.41917092291246e-06, 'epoch': 2.43}
{'loss': 0.2005, 'grad_norm': 0.7572385668754578, 'learning_rate': 9.221206002296393e-06, 'epoch': 2.45}
{'loss': 0.2023, 'grad_norm': 0.8722535967826843, 'learning_rate': 9.023241081680326e-06, 'epoch': 2.46}
{'loss': 0.2005, 'grad_norm': 0.8513724207878113, 'learning_rate': 8.82527616106426e-06, 'epoch': 2.47}
{'loss': 0.191, 'grad_norm': 0.46265000104904175, 'learning_rate': 8.627311240448193e-06, 'epoch': 2.48}
{'loss': 0.2007, 'grad_norm': 0.9060769081115723, 'learning_rate': 8.429346319832126e-06, 'epoch': 2.49}
{'loss': 0.1945, 'grad_norm': 0.5600147247314453, 'learning_rate': 8.231381399216059e-06, 'epoch': 2.51}
{'loss': 0.1933, 'grad_norm': 1.1385116577148438, 'learning_rate': 8.033416478599992e-06, 'epoch': 2.52}
{'loss': 0.1969, 'grad_norm': 0.6985804438591003, 'learning_rate': 7.835451557983925e-06, 'epoch': 2.53}
{'loss': 0.1992, 'grad_norm': 0.7757120132446289, 'learning_rate': 7.637486637367859e-06, 'epoch': 2.54}
{'loss': 0.1967, 'grad_norm': 0.6844362020492554, 'learning_rate': 7.439521716751792e-06, 'epoch': 2.55}
{'loss': 0.192, 'grad_norm': 0.9324702620506287, 'learning_rate': 7.241556796135725e-06, 'epoch': 2.57}
{'loss': 0.192, 'grad_norm': 0.8365113139152527, 'learning_rate': 7.043591875519659e-06, 'epoch': 2.58}
{'loss': 0.202, 'grad_norm': 0.7796312570571899, 'learning_rate': 6.845626954903591e-06, 'epoch': 2.59}
{'loss': 0.1954, 'grad_norm': 0.7551336884498596, 'learning_rate': 6.6476620342875245e-06, 'epoch': 2.6}
{'loss': 0.2001, 'grad_norm': 0.8905714750289917, 'learning_rate': 6.449697113671458e-06, 'epoch': 2.61}
{'loss': 0.1965, 'grad_norm': 0.702362060546875, 'learning_rate': 6.251732193055392e-06, 'epoch': 2.63}
{'loss': 0.2012, 'grad_norm': 0.7949206829071045, 'learning_rate': 6.053767272439324e-06, 'epoch': 2.64}
{'loss': 0.1947, 'grad_norm': 0.848152756690979, 'learning_rate': 5.855802351823257e-06, 'epoch': 2.65}
{'loss': 0.1958, 'grad_norm': 1.027038812637329, 'learning_rate': 5.65783743120719e-06, 'epoch': 2.66}
{'loss': 0.1974, 'grad_norm': 0.9346526861190796, 'learning_rate': 5.459872510591124e-06, 'epoch': 2.67}
{'loss': 0.1926, 'grad_norm': 1.1895033121109009, 'learning_rate': 5.261907589975057e-06, 'epoch': 2.68}
{'loss': 0.199, 'grad_norm': 0.7839149236679077, 'learning_rate': 5.06394266935899e-06, 'epoch': 2.7}
{'loss': 0.1946, 'grad_norm': 0.9385294318199158, 'learning_rate': 4.865977748742923e-06, 'epoch': 2.71}
